# Time forceX forceY forceZ normalForce
0.002 -4.73034 -55.5707 4.86609e-23 -55.5707
0.004 -2.6095 -120.29 4.86609e-23 -120.29
0.006 -1.42098 -184.793 4.86609e-23 -184.793
0.008 -0.758783 -249.283 4.86609e-23 -249.283
0.01 -0.3909 -313.772 4.86609e-23 -313.772
0.012 -0.186573 -378.256 4.86609e-23 -378.256
0.014 -0.0731974 -442.738 4.86609e-23 -442.738
0.016 -0.0103375 -507.218 4.86609e-23 -507.218
0.018 0.0244924 -571.698 4.86609e-23 -571.698
0.02 0.0437812 -636.177 4.86609e-23 -636.177
0.022 0.054459 -700.656 4.86609e-23 -700.656
0.024 0.060368 -765.135 4.86609e-23 -765.135
0.026 0.0636372 -829.614 4.86609e-23 -829.614
0.028 0.0654457 -894.093 4.86609e-23 -894.093
0.03 0.066446 -958.572 4.86609e-23 -958.572
0.032 0.0669994 -1023.05 4.86609e-23 -1023.05
0.034 0.0673057 -1087.53 4.86609e-23 -1087.53
0.036 0.0674754 -1152.01 4.86609e-23 -1152.01
0.038 0.0675696 -1216.49 4.86609e-23 -1216.49
0.04 0.067622 -1280.97 4.86609e-23 -1280.97
0.042 0.0676515 -1345.45 4.86609e-23 -1345.45
0.044 0.0676682 -1409.93 4.86609e-23 -1409.93
0.046 0.0676779 -1474.4 4.86609e-23 -1474.4
0.048 0.0676837 -1538.88 4.86609e-23 -1538.88
0.05 0.0676874 -1603.36 4.86609e-23 -1603.36
0.052 0.06769 -1667.84 4.86609e-23 -1667.84
0.054 0.0676919 -1732.32 4.86609e-23 -1732.32
0.056 0.0676934 -1796.8 4.86609e-23 -1796.8
0.058 0.0676946 -1861.28 4.86609e-23 -1861.28
0.06 0.0676958 -1925.76 4.86609e-23 -1925.76
0.062 0.0676967 -1990.24 4.86609e-23 -1990.24
0.064 0.0676976 -2054.72 4.86609e-23 -2054.72
0.066 0.0676984 -2119.19 4.86609e-23 -2119.19
0.068 0.0676991 -2183.67 4.86609e-23 -2183.67
0.07 0.0676996 -2248.15 4.86609e-23 -2248.15
0.072 0.0677001 -2312.63 4.86609e-23 -2312.63
0.074 0.0677003 -2377.11 4.86609e-23 -2377.11
0.076 0.0677005 -2441.59 4.86609e-23 -2441.59
0.078 0.0677005 -2506.07 4.86609e-23 -2506.07
0.08 0.0677003 -2570.55 4.86609e-23 -2570.55
0.082 0.0676999 -2635.03 4.86609e-23 -2635.03
0.084 0.0676994 -2699.5 4.86609e-23 -2699.5
0.086 0.0676987 -2763.98 4.86609e-23 -2763.98
0.088 0.067698 -2828.46 4.86609e-23 -2828.46
0.09 0.0676973 -2892.94 4.86609e-23 -2892.94
0.092 0.0676969 -2957.42 4.86609e-23 -2957.42
0.094 0.0676971 -3021.9 4.86609e-23 -3021.9
0.096 0.0676977 -3086.38 4.86609e-23 -3086.38
0.098 0.067699 -3150.86 4.86609e-23 -3150.86
0.1 0.0677007 -3215.34 4.86609e-23 -3215.34
0.102 0.0677028 -3279.81 4.86609e-23 -3279.81
0.104 0.0677052 -3344.29 4.86609e-23 -3344.29
0.106 0.067708 -3408.77 4.86609e-23 -3408.77
0.108 0.0677109 -3473.25 4.86609e-23 -3473.25
0.11 0.067714 -3537.73 4.86609e-23 -3537.73
0.112 0.0677171 -3602.21 4.86609e-23 -3602.21
0.114 0.0677204 -3666.69 4.86609e-23 -3666.69
0.116 0.0677236 -3731.17 4.86609e-23 -3731.17
0.118 0.0677267 -3795.64 4.86609e-23 -3795.64
0.12 0.0677298 -3860.12 4.86609e-23 -3860.12
0.122 0.0677328 -3924.6 4.86609e-23 -3924.6
0.124 0.0677355 -3989.08 4.86609e-23 -3989.08
0.126 0.0677381 -4053.56 4.86609e-23 -4053.56
0.128 0.0677405 -4118.04 4.86609e-23 -4118.04
0.13 0.0677426 -4182.52 4.86609e-23 -4182.52
0.132 0.0677443 -4246.99 4.86609e-23 -4246.99
0.134 0.0677458 -4311.47 4.86609e-23 -4311.47
0.136 0.0677469 -4375.95 4.86609e-23 -4375.95
0.138 0.0677477 -4440.43 4.86609e-23 -4440.43
0.14 0.0677481 -4504.91 4.86609e-23 -4504.91
0.142 0.0677481 -4569.39 4.86609e-23 -4569.39
0.144 0.0677478 -4633.86 4.86609e-23 -4633.86
0.146 0.067747 -4698.34 4.86609e-23 -4698.34
0.148 0.0677458 -4762.82 4.86609e-23 -4762.82
0.15 0.0677443 -4827.3 4.86609e-23 -4827.3
0.152 0.0677423 -4891.78 4.86609e-23 -4891.78
0.154 0.06774 -4956.26 4.86609e-23 -4956.26
0.156 0.0677373 -5020.74 4.86609e-23 -5020.74
0.158 0.0677343 -5085.21 4.86609e-23 -5085.21
0.16 0.0677311 -5149.69 4.86609e-23 -5149.69
0.162 0.0677279 -5214.17 4.86609e-23 -5214.17
0.164 0.0677246 -5278.65 4.86609e-23 -5278.65
0.166 0.0677214 -5343.13 4.86609e-23 -5343.13
0.168 0.0677183 -5407.61 4.86609e-23 -5407.61
0.17 0.0677152 -5472.09 4.86609e-23 -5472.09
0.172 0.0677123 -5536.57 4.86609e-23 -5536.57
0.174 0.0677093 -5601.04 4.86609e-23 -5601.04
0.176 0.0677064 -5665.52 4.86609e-23 -5665.52
0.178 0.0677035 -5730 4.86609e-23 -5730
0.18 0.0677007 -5794.48 4.86609e-23 -5794.48
0.182 0.0676979 -5858.96 4.86609e-23 -5858.96
0.184 0.0676952 -5923.44 4.86609e-23 -5923.44
0.186 0.0676925 -5987.92 4.86609e-23 -5987.92
0.188 0.0676898 -6052.4 4.86609e-23 -6052.4
0.19 0.0676872 -6116.88 4.86609e-23 -6116.88
0.192 0.0676847 -6181.36 4.86609e-23 -6181.36
0.194 0.0676822 -6245.83 4.86609e-23 -6245.83
0.196 0.0676798 -6310.31 4.86609e-23 -6310.31
0.198 0.0676774 -6374.79 4.86609e-23 -6374.79
0.2 0.0676751 -6439.27 4.86609e-23 -6439.27
0.202 0.0676729 -6503.75 4.86609e-23 -6503.75
0.204 0.0676708 -6568.23 4.86609e-23 -6568.23
0.206 0.0676688 -6632.71 4.86609e-23 -6632.71
0.208 0.0676669 -6697.19 4.86609e-23 -6697.19
0.21 0.0676651 -6761.67 4.86609e-23 -6761.67
0.212 0.0676634 -6826.15 4.86609e-23 -6826.15
0.214 0.0676618 -6890.63 4.86609e-23 -6890.63
0.216 0.0676604 -6955.11 4.86609e-23 -6955.11
0.218 0.067659 -7019.59 4.86609e-23 -7019.59
0.22 0.0676578 -7084.07 4.86609e-23 -7084.07
0.222 0.0676566 -7148.54 4.86609e-23 -7148.54
0.224 0.0676556 -7213.02 4.86609e-23 -7213.02
0.226 0.0676548 -7277.5 4.86609e-23 -7277.5
0.228 0.067654 -7341.98 4.86609e-23 -7341.98
0.23 0.0676534 -7406.46 4.86609e-23 -7406.46
0.232 0.0676529 -7470.94 4.86609e-23 -7470.94
0.234 0.0676526 -7535.42 4.86609e-23 -7535.42
0.236 0.0676524 -7599.9 4.86609e-23 -7599.9
0.238 0.0676523 -7664.38 4.86609e-23 -7664.38
0.24 0.0676523 -7728.86 4.86609e-23 -7728.86
0.242 0.0676525 -7793.34 4.86609e-23 -7793.34
0.244 0.0676528 -7857.82 4.86609e-23 -7857.82
0.246 0.0676532 -7922.3 4.86609e-23 -7922.3
0.248 0.0676538 -7986.78 4.86609e-23 -7986.78
