  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Solid-Mesh:Force)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   9.00212841e-01   9.00001286e-01
     1       3   9.45642023e-02   2.53589042e-03
     1       4   2.12201748e-01   3.35498518e-04
     1       5   3.13161062e-01   3.04195403e-04
     1       6   5.12406760e-02   1.32317026e-04
     1       7   1.00069701e-02   8.38437584e-05
     1       8   3.09271719e-03   2.93957393e-05
     1       9   1.81805626e-03   1.55131436e-05
     1      10   5.67568229e-04   7.24153083e-06
     1      11   6.99821933e-04   1.37078101e-06
     1      12   2.61811776e-04   2.01674760e-06
     1      13   1.08052961e-03   5.50507306e-07
     1      14   7.55715552e-04   5.58505897e-07
     1      15   8.81467263e-04   8.66975358e-07
     1      16   6.35537060e-04   3.02116724e-07
     1      17   2.40232762e-04   1.14478320e-06
     1      18   2.13516733e-04   9.94675925e-07
     1      19   1.44679830e-04   7.25788878e-07
     1      20   1.21407541e-04   5.91263940e-07
     1      21   8.34100345e-05   2.51186112e-07
