# Time dispX dispY dispZ forceX forceY forceZ
1 0 0 -2.5e-05 1.1448375e-06 -7.2952578e-10 -0.00019531281
2 0 0 -5e-05 1.1257649e-06 -4.0907167e-11 -0.00038820808
3 0 0 -7.5e-05 1.106138e-06 -9.8497147e-11 -0.00058110166
4 0 0 -0.0001 1.0864675e-06 -1.2213979e-10 -0.0007739952
5 0 0 -0.000125 1.0668015e-06 -1.3899164e-10 -0.00096688873
6 0 0 -0.00015 1.0470956e-06 -1.1778973e-10 -0.0011597823
7 0 0 -0.000175 1.0274341e-06 -1.8197043e-10 -0.0013526758
8 0 0 -0.0002 1.0078276e-06 -2.2407178e-10 -0.0015455693
9 0 0 -0.000225 9.8812235e-07 -1.7293472e-10 -0.0017384629
10 0 0 -0.00025 9.6842659e-07 -3.0646269e-10 -0.0019313564
11 0 0 -0.000275 9.487599e-07 -3.6671156e-10 -0.0021242501
12 0 0 -0.0003 9.2907337e-07 -3.6799218e-10 -0.0023171435
13 0 0 -0.000325 9.0946315e-07 -3.5442105e-10 -0.002510037
14 0 0 -0.00035 8.8979531e-07 -3.8755284e-10 -0.0027029305
15 0 0 -0.000375 8.7007057e-07 -4.1442793e-10 -0.0028958241
16 0 0 -0.0004 8.5038409e-07 -4.4402507e-10 -0.0030887176
17 0 0 -0.000425 8.3071779e-07 -4.9007408e-10 -0.0032816111
18 0 0 -0.00045 8.1104501e-07 -5.0002604e-10 -0.0034745047
19 0 0 -0.000475 7.9136784e-07 -5.1873292e-10 -0.0036673982
20 0 0 -0.0005 7.716715e-07 -5.9468792e-10 -0.0038602918
21 0 0 -0.000525 7.520292e-07 -5.9980904e-10 -0.0040531855
22 0 0 -0.00055 7.323356e-07 -6.8467342e-10 -0.0042460791
23 0 0 -0.000575 7.1270988e-07 -7.1036238e-10 -0.0044389724
24 0 0 -0.0006 6.9301624e-07 -7.0456933e-10 -0.0046318659
25 0 0 -0.000625 6.7335154e-07 -7.3318596e-10 -0.0048247594
26 0 0 -0.00065 6.537008e-07 -7.3896109e-10 -0.0050176529
27 0 0 -0.000675 6.3397613e-07 -7.9279025e-10 -0.0052105465
28 0 0 -0.0007 6.1437112e-07 -8.1892534e-10 -0.0054034401
29 0 0 -0.000725 5.9465474e-07 -8.2584162e-10 -0.0055963336
30 0 0 -0.00075 5.7497688e-07 -8.7460144e-10 -0.0057892271
31 0 0 -0.000775 5.5529249e-07 -9.8586647e-10 -0.0059821205
32 0 0 -0.0008 5.3564711e-07 -1.0528877e-09 -0.0061750141
33 0 0 -0.000825 5.1600682e-07 -1.1341183e-09 -0.0063679076
34 0 0 -0.00085 4.962713e-07 -1.0426595e-09 -0.0065608012
35 0 0 -0.000875 4.7666119e-07 -1.0924593e-09 -0.0067536947
36 0 0 -0.0009 4.5694565e-07 -1.0571756e-09 -0.0069465883
37 0 0 -0.000925 4.3726943e-07 -1.1395418e-09 -0.0071394818
38 0 0 -0.00095 4.1761695e-07 -1.3476756e-09 -0.0073323759
39 0 0 -0.000975 3.9795024e-07 -1.2928011e-09 -0.0075252694
40 0 0 -0.001 3.7823418e-07 -1.218982e-09 -0.0077181625
