# Time dispX dispY dispZ forceX forceY forceZ
1 0 0 -2.5e-05 6.1724302e-06 -4.3166066e-09 -0.00072303625
2 0 0 -5e-05 6.0714041e-06 -2.6925667e-10 -0.0014371278
3 0 0 -7.5e-05 5.9655186e-06 -5.3840505e-10 -0.0021512123
4 0 0 -0.0001 5.859428e-06 -6.5754415e-10 -0.0028652967
5 0 0 -0.000125 5.7533638e-06 -7.4477898e-10 -0.003579381
6 0 0 -0.00015 5.6471487e-06 -7.0784844e-10 -0.0042934651
7 0 0 -0.000175 5.5411261e-06 -1.0404263e-09 -0.0050075494
8 0 0 -0.0002 5.4353085e-06 -1.1999589e-09 -0.0057216339
9 0 0 -0.000225 5.329117e-06 -1.0606513e-09 -0.0064357179
10 0 0 -0.00025 5.2229243e-06 -1.7244221e-09 -0.0071498022
11 0 0 -0.000275 5.1169223e-06 -2.0905874e-09 -0.0078638865
12 0 0 -0.0003 5.0107174e-06 -2.0773637e-09 -0.0085779708
13 0 0 -0.000325 4.904918e-06 -1.9934971e-09 -0.0092920552
14 0 0 -0.00035 4.7988579e-06 -2.1518111e-09 -0.010006139
15 0 0 -0.000375 4.6925248e-06 -2.3206938e-09 -0.010720224
16 0 0 -0.0004 4.5864015e-06 -2.5207364e-09 -0.011434308
17 0 0 -0.000425 4.4803801e-06 -2.8014255e-09 -0.012148392
18 0 0 -0.00045 4.37426e-06 -2.8345858e-09 -0.012862476
19 0 0 -0.000475 4.2681746e-06 -2.938106e-09 -0.013576561
20 0 0 -0.0005 4.1619734e-06 -3.3548515e-09 -0.014290645
21 0 0 -0.000525 4.0560935e-06 -3.4041009e-09 -0.015004729
22 0 0 -0.00055 3.9499318e-06 -3.886055e-09 -0.015718814
23 0 0 -0.000575 3.8440455e-06 -3.9566339e-09 -0.016432898
24 0 0 -0.0006 3.7378578e-06 -3.9436223e-09 -0.017146982
25 0 0 -0.000625 3.6317904e-06 -4.1368013e-09 -0.017861066
26 0 0 -0.00065 3.5257829e-06 -4.1322481e-09 -0.018575151
27 0 0 -0.000675 3.4195869e-06 -4.5076354e-09 -0.019289235
28 0 0 -0.0007 3.3137793e-06 -4.624986e-09 -0.020003319
29 0 0 -0.000725 3.2074041e-06 -4.6285834e-09 -0.020717404
30 0 0 -0.00075 3.1014373e-06 -4.9630825e-09 -0.021431487
31 0 0 -0.000775 2.9953456e-06 -5.541667e-09 -0.022145572
32 0 0 -0.0008 2.8894538e-06 -5.9621331e-09 -0.022859656
33 0 0 -0.000825 2.7835096e-06 -6.3574727e-09 -0.02357374
34 0 0 -0.00085 2.6770366e-06 -5.8940223e-09 -0.024287825
35 0 0 -0.000875 2.5713034e-06 -6.1282805e-09 -0.025001909
36 0 0 -0.0009 2.4648515e-06 -5.8808255e-09 -0.025715994
37 0 0 -0.000925 2.358836e-06 -6.3297652e-09 -0.026430078
38 0 0 -0.00095 2.2529776e-06 -7.4912157e-09 -0.027144162
39 0 0 -0.000975 2.1470358e-06 -7.2811154e-09 -0.027858246
40 0 0 -0.001 2.0404988e-06 -6.810764e-09 -0.028572331
