# Time dispX dispY dispZ forceX forceY forceZ
1 0 0 -2.5e-05 2.9920713e-06 -3.1017156e-09 -0.0061785958
2 0 0 -5e-05 2.3689396e-06 4.5729631e-10 -0.012280438
3 0 0 -7.5e-05 1.7712196e-06 -2.1585709e-10 -0.018382248
4 0 0 -0.0001 1.172936e-06 -3.9691392e-10 -0.024484057
5 0 0 -0.000125 5.7457422e-07 -4.9707485e-10 -0.030585865
6 0 0 -0.00015 -2.379172e-08 -5.8930806e-10 -0.036687674
7 0 0 -0.000175 -6.2219239e-07 -7.0083637e-10 -0.042789482
8 0 0 -0.0002 -1.2206432e-06 -7.6468329e-10 -0.048891291
9 0 0 -0.000225 -1.8190554e-06 -7.9587608e-10 -0.054993099
10 0 0 -0.00025 -2.4174311e-06 -8.0668105e-10 -0.061094908
11 0 0 -0.000275 -3.0159439e-06 -8.680858e-10 -0.067196717
12 0 0 -0.0003 -3.6145227e-06 -9.5391216e-10 -0.073298525
13 0 0 -0.000325 -4.2126173e-06 -1.0200691e-09 -0.079400334
14 0 0 -0.00035 -4.8114848e-06 -9.6722773e-10 -0.085502142
15 0 0 -0.000375 -5.409995e-06 -1.1900683e-09 -0.091603951
16 0 0 -0.0004 -6.0083223e-06 -1.3012889e-09 -0.097705759
17 0 0 -0.000425 -6.6065315e-06 -1.1520001e-09 -0.10380757
18 0 0 -0.00045 -7.2052073e-06 -1.3379774e-09 -0.10990938
19 0 0 -0.000475 -7.8036488e-06 -1.1189393e-09 -0.11601119
20 0 0 -0.0005 -8.4019734e-06 -1.4648748e-09 -0.12211299
21 0 0 -0.000525 -9.0009641e-06 -1.5364453e-09 -0.1282148
22 0 0 -0.00055 -9.5990934e-06 -1.8902064e-09 -0.13431661
23 0 0 -0.000575 -1.0200951e-05 -6.8310111e-10 -0.14041842
24 0 0 -0.0006 -1.079972e-05 -9.5218582e-10 -0.14652022
25 0 0 -0.000625 -1.1394122e-05 -2.056404e-09 -0.15262204
26 0 0 -0.00065 -1.1994874e-05 -1.4138481e-09 -0.15872385
27 0 0 -0.000675 -1.2591697e-05 -2.0644072e-09 -0.16482565
28 0 0 -0.0007 -1.318989e-05 -2.0003124e-09 -0.17092746
29 0 0 -0.000725 -1.3788429e-05 -2.4301863e-09 -0.17702927
30 0 0 -0.00075 -1.4389798e-05 -1.4726355e-09 -0.18313107
31 0 0 -0.000775 -1.4989485e-05 -1.1286648e-09 -0.18923288
32 0 0 -0.0008 -1.5584108e-05 -2.0487009e-09 -0.1953347
33 0 0 -0.000825 -1.618264e-05 -1.9984438e-09 -0.20143651
34 0 0 -0.00085 -1.6780908e-05 -2.3784935e-09 -0.20753831
35 0 0 -0.000875 -1.7382677e-05 -1.5220316e-09 -0.21364012
36 0 0 -0.0009 -1.7980689e-05 -2.0735711e-09 -0.21974193
37 0 0 -0.000925 -1.8575872e-05 -3.4413407e-09 -0.22584374
38 0 0 -0.00095 -1.917492e-05 -3.4702126e-09 -0.23194555
39 0 0 -0.000975 -1.9773783e-05 -3.8099011e-09 -0.23804736
40 0 0 -0.001 -2.0372258e-05 -3.1594448e-09 -0.24414916
