# Time dispX dispY dispZ forceX forceY forceZ
1 0 0 -2.5e-05 7.5838152e-07 -1.253946e-09 -0.00093958793
2 0 0 -5e-05 6.0160408e-07 8.1959527e-11 -0.0018675022
3 0 0 -7.5e-05 4.4979191e-07 -5.8001767e-11 -0.0027954115
4 0 0 -0.0001 2.9785635e-07 -9.7230471e-11 -0.0037233206
5 0 0 -0.000125 1.4590503e-07 -1.2004665e-10 -0.0046512298
6 0 0 -0.00015 -6.0450664e-09 -1.4308584e-10 -0.0055791388
7 0 0 -0.000175 -1.5800328e-07 -1.7066871e-10 -0.006507048
8 0 0 -0.0002 -3.0997305e-07 -1.8769141e-10 -0.007434957
9 0 0 -0.000225 -4.6193399e-07 -1.9928226e-10 -0.0083628661
10 0 0 -0.00025 -6.1388584e-07 -2.0526928e-10 -0.0092907752
11 0 0 -0.000275 -7.6587258e-07 -2.2288551e-10 -0.010218684
12 0 0 -0.0003 -9.178702e-07 -2.4226226e-10 -0.011146593
13 0 0 -0.000325 -1.0697599e-06 -2.7008449e-10 -0.012074503
14 0 0 -0.00035 -1.221823e-06 -2.5535292e-10 -0.013002412
15 0 0 -0.000375 -1.3738086e-06 -2.9992247e-10 -0.013930321
16 0 0 -0.0004 -1.5257495e-06 -3.2897602e-10 -0.01485823
17 0 0 -0.000425 -1.6776647e-06 -3.0232719e-10 -0.015786139
18 0 0 -0.00045 -1.8296863e-06 -3.5218043e-10 -0.016714048
19 0 0 -0.000475 -1.9816553e-06 -3.0345878e-10 -0.017641957
20 0 0 -0.0005 -2.1335948e-06 -3.8157768e-10 -0.018569866
21 0 0 -0.000525 -2.2856902e-06 -3.9541827e-10 -0.019497775
22 0 0 -0.00055 -2.437588e-06 -4.7438336e-10 -0.020425684
23 0 0 -0.000575 -2.5902674e-06 -3.1056179e-10 -0.021353593
24 0 0 -0.0006 -2.7423206e-06 -3.4930386e-10 -0.022281502
25 0 0 -0.000625 -2.89342e-06 -5.163096e-10 -0.023209412
26 0 0 -0.00065 -3.0458774e-06 -4.361911e-10 -0.024137321
27 0 0 -0.000675 -3.1975179e-06 -5.2575478e-10 -0.02506523
28 0 0 -0.0007 -3.3494298e-06 -5.1747465e-10 -0.025993139
29 0 0 -0.000725 -3.5014191e-06 -6.1194603e-10 -0.026921048
30 0 0 -0.00075 -3.653962e-06 -4.6844969e-10 -0.027848957
31 0 0 -0.000775 -3.8062262e-06 -4.1728169e-10 -0.028776866
32 0 0 -0.0008 -3.9574006e-06 -5.4149927e-10 -0.029704776
33 0 0 -0.000825 -4.1093892e-06 -5.3958363e-10 -0.030632685
34 0 0 -0.00085 -4.2613266e-06 -6.2066686e-10 -0.031560594
35 0 0 -0.000875 -4.4139848e-06 -5.1496335e-10 -0.032488502
36 0 0 -0.0009 -4.565854e-06 -6.3390054e-10 -0.033416412
37 0 0 -0.000925 -4.7171515e-06 -8.4201499e-10 -0.034344321
38 0 0 -0.00095 -4.8692455e-06 -8.528432e-10 -0.03527223
39 0 0 -0.000975 -5.0213062e-06 -9.3326958e-10 -0.036200139
40 0 0 -0.001 -5.1732951e-06 -7.9261576e-10 -0.037128048
