# Region type : patch outlet
# Faces         : 200
# Area          : 2.81613199e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0               	0.00000000e+00
# Region type : patch outlet
# Faces         : 200
# Area          : 2.81613199e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0               	0.00000000e+00
# Region type : patch outlet
# Faces         : 200
# Area          : 2.81613199e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0               	0.00000000e+00
# Region type : patch outlet
# Faces         : 200
# Area          : 2.81613199e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0               	0.00000000e+00
# Region type : patch outlet
# Faces         : 200
# Area          : 2.81613199e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0               	0.00000000e+00
# Region type : patch outlet
# Faces         : 200
# Area          : 2.81613199e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0               	0.00000000e+00
# Region type : patch outlet
# Faces         : 200
# Area          : 2.81613199e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.0002          	9.96988307e-08
# Region type : patch outlet
# Faces         : 200
# Area          : 2.81613199e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.000384615     	-3.82376577e-07
# Region type : patch outlet
# Faces         : 200
# Area          : 2.81613199e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.000384738     	2.34490976e-07
# Region type : patch outlet
# Faces         : 200
# Area          : 2.81613199e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.000384874     	8.66861479e-07
# Region type : patch outlet
# Faces         : 200
# Area          : 2.81613199e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.000385023     	1.44949704e-06
# Region type : patch outlet
# Faces         : 200
# Area          : 2.81613199e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.000385187     	1.98405339e-06
# Region type : patch outlet
# Faces         : 200
# Area          : 2.81613199e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.000385365     	2.44964632e-06
# Region type : patch outlet
# Faces         : 200
# Area          : 2.81613199e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.000385559     	2.84846834e-06
# Region type : patch outlet
# Faces         : 200
# Area          : 2.81613199e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.000385771     	3.18767872e-06
# Region type : patch outlet
# Faces         : 200
# Area          : 2.81613199e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.000386002     	3.46627214e-06
# Region type : patch outlet
# Faces         : 200
# Area          : 2.81613199e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.000386253     	3.68563754e-06
# Region type : patch outlet
# Faces         : 200
# Area          : 2.81613199e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.000386526     	3.84955335e-06
# Region type : patch outlet
# Faces         : 200
# Area          : 2.81613199e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.000386822     	3.96214663e-06
# Region type : patch outlet
# Faces         : 200
# Area          : 2.81613199e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.000387144     	4.02811157e-06
# Region type : patch outlet
# Faces         : 200
# Area          : 2.81613199e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.000387494     	4.05247560e-06
# Region type : patch outlet
# Faces         : 200
# Area          : 2.81613199e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.000387875     	4.03934293e-06
