  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Fluid-Mesh:Force)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   5.90652621e+00   1.83059227e+00
     1       3   1.09890122e-01   7.36169306e-01
     1       4   1.43560009e-02   7.21852893e-02
     1       5   3.89526586e-04   7.59115620e-03
     1       6   1.71206801e-05   1.97883408e-04
     1       7   4.68728866e-07   8.65706075e-06
     2       1   9.99118739e-01   9.98883777e-01
     2       2   2.44470821e+01   1.11674522e+01
     2       3   2.45514491e+00   5.66662057e-01
     2       4   1.59072626e+00   9.75510292e-01
     2       5   3.84773647e+00   2.04379542e+00
     2       6   4.42937986e+00   5.89028710e-01
     2       7   9.21469877e-01   6.37677684e-01
     2       8   1.23421583e+00   9.72054206e-01
     2       9   6.42076045e-01   1.59023093e+00
     2      10   4.03849564e-01   1.29170069e+00
     2      11   1.91458347e+00   1.40284680e+00
     2      12   1.20009390e-01   8.49118788e-01
     2      13   8.92200887e-02   1.37284910e-01
     2      14   9.41266370e-01   9.39990195e-01
     2      15   2.22045461e+00   6.28788778e+01
     2      16   7.80061632e+00   1.05631382e+00
     2      17   4.83620060e-01   1.27453149e+00
     2      18   7.25228985e+00   4.53700162e+00
     2      19   4.12006120e-01   8.56177859e-01
     2      20   9.25495758e+00   1.04472825e+00
     2      21   8.36495698e-01   9.05795584e-01
     2      22   3.85695788e+00   1.40433005e+01
     2      23   1.97244171e+00   9.94786457e-01
     2      24   2.16400068e-01   1.01830270e+00
     2      25   1.37230891e+00   1.21991704e+00
     2      26   8.51991487e-01   3.17103764e+00
     2      27   4.13494162e-01   1.04644365e+00
     2      28   2.11263193e+00   1.80980306e+00
     2      29   8.71972620e-01   1.00599342e+00
     2      30   4.29778890e-01   9.47306791e+00
     2      31   9.94622382e+00   3.03213909e+00
     2      32   1.80292488e+01   7.09221126e-01
     2      33   4.65891122e+00   9.37711157e-01
     2      34   5.49951556e+00   1.27056832e+00
     2      35   1.04479296e+00   1.55872597e+00
     2      36   9.45955768e-01   9.84505730e-01
     2      37   7.46903254e-01   1.62365249e+00
     2      38   2.11036388e+00   9.91497586e+00
     2      39   5.52404272e+00   1.45396631e+00
     2      40   3.46713837e-01   9.71516028e-01
     2      41   1.76544604e+00   1.43420138e+00
     2      42   7.22829381e-01   2.13094561e+00
     2      43   2.69223183e-01   6.51076078e-01
     2      44   8.21371958e-01   9.37553531e-01
     2      45   3.32514458e-01   2.27639036e+00
