# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50569538e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0               	0.00000000e+00
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50569538e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0               	0.00000000e+00
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50569538e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0               	0.00000000e+00
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50569538e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0               	0.00000000e+00
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50569538e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0               	0.00000000e+00
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50569735e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.0002          	-2.42984305e-24
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50569735e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.0002          	-2.42984305e-24
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50569735e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.0002          	-2.42984305e-24
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50569735e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.0002          	-2.42984305e-24
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50569735e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.0002          	-2.42984305e-24
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50570244e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.0004          	3.87740912e-25
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50570244e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.0004          	3.87740912e-25
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50570244e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.0004          	3.87740912e-25
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50570244e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.0004          	3.87740912e-25
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50570532e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.0006          	-3.23117427e-26
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50570532e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.0006          	-3.23117427e-26
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50570532e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.0006          	-3.23117427e-26
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50570532e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.0006          	-3.23117427e-26
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50570524e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.0008          	7.25752033e-27
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50570524e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
