# Region type : patch outlet
# Faces         : 200
# Area          : 2.73791573e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0               	0.00000000e+00
# Region type : patch outlet
# Faces         : 200
# Area          : 2.73791573e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0               	0.00000000e+00
# Region type : patch outlet
# Faces         : 200
# Area          : 2.73791573e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0               	0.00000000e+00
# Region type : patch outlet
# Faces         : 200
# Area          : 2.73791573e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0               	0.00000000e+00
# Region type : patch outlet
# Faces         : 200
# Area          : 2.73791573e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0               	0.00000000e+00
# Region type : patch outlet
# Faces         : 200
# Area          : 2.73791573e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.0002          	9.93530253e-08
# Region type : patch outlet
# Faces         : 200
# Area          : 2.73791573e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.0002          	9.93530253e-08
# Region type : patch outlet
# Faces         : 200
# Area          : 2.73791573e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.0002          	9.93530253e-08
# Region type : patch outlet
# Faces         : 200
# Area          : 2.73791573e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.0002          	9.93530253e-08
# Region type : patch outlet
# Faces         : 200
# Area          : 2.73791573e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.0002          	9.93530253e-08
# Region type : patch outlet
# Faces         : 200
# Area          : 2.73791573e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.0004          	1.44545011e-07
# Region type : patch outlet
# Faces         : 200
# Area          : 2.73791573e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.0004          	1.44545011e-07
# Region type : patch outlet
# Faces         : 200
# Area          : 2.73791573e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.0004          	1.44545011e-07
# Region type : patch outlet
# Faces         : 200
# Area          : 2.73791573e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.0004          	1.44545011e-07
# Region type : patch outlet
# Faces         : 200
# Area          : 2.73791573e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.0006          	1.59504492e-07
# Region type : patch outlet
# Faces         : 200
# Area          : 2.73791573e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.0006          	1.59504492e-07
# Region type : patch outlet
# Faces         : 200
# Area          : 2.73791573e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.0006          	1.59504492e-07
# Region type : patch outlet
# Faces         : 200
# Area          : 2.73791573e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.0006          	1.59504492e-07
# Region type : patch outlet
# Faces         : 200
# Area          : 2.73791573e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.0008          	1.67963773e-07
# Region type : patch outlet
# Faces         : 200
# Area          : 2.73791573e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.0008          	1.67963773e-07
# Region type : patch outlet
# Faces         : 200
# Area          : 2.73791573e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.0008          	1.67963773e-07
# Region type : patch outlet
# Faces         : 200
# Area          : 2.73791573e-05
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.0008          	1.67963773e-07
# Region type : patch outlet
