# Region type : patch interface_downstream
# Faces         : 120
# Area          : 1.50569538e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0               	0.00000000e+00
# Region type : patch interface_downstream
# Faces         : 120
# Area          : 1.50569538e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0               	0.00000000e+00
# Region type : patch interface_downstream
# Faces         : 120
# Area          : 1.50569538e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0               	0.00000000e+00
# Region type : patch interface_downstream
# Faces         : 120
# Area          : 1.50569538e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0               	0.00000000e+00
# Region type : patch interface_downstream
# Faces         : 120
# Area          : 1.50569538e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0               	0.00000000e+00
# Region type : patch interface_downstream
# Faces         : 120
# Area          : 1.50569724e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0.0002          	1.92799049e-01
# Region type : patch interface_downstream
# Faces         : 120
# Area          : 1.50569724e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0.0002          	1.92799049e-01
# Region type : patch interface_downstream
# Faces         : 120
# Area          : 1.50569724e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0.0002          	1.92799049e-01
# Region type : patch interface_downstream
# Faces         : 120
# Area          : 1.50569724e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0.0002          	1.92799049e-01
# Region type : patch interface_downstream
# Faces         : 120
# Area          : 1.50569724e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0.0002          	1.92799049e-01
# Region type : patch interface_downstream
# Faces         : 120
# Area          : 1.50570196e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0.0004          	6.76525197e-02
# Region type : patch interface_downstream
# Faces         : 120
# Area          : 1.50570196e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0.0004          	6.76525197e-02
# Region type : patch interface_downstream
# Faces         : 120
# Area          : 1.50570196e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0.0004          	6.76525197e-02
# Region type : patch interface_downstream
# Faces         : 120
# Area          : 1.50570196e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0.0004          	6.76525197e-02
# Region type : patch interface_downstream
# Faces         : 120
# Area          : 1.50570465e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0.0006          	1.46426384e-02
# Region type : patch interface_downstream
# Faces         : 120
# Area          : 1.50570465e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0.0006          	1.46426384e-02
# Region type : patch interface_downstream
# Faces         : 120
