# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50569538e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0               	0.00000000e+00
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50569538e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0               	0.00000000e+00
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50569538e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0               	0.00000000e+00
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50569538e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0               	0.00000000e+00
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50569538e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0               	0.00000000e+00
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50569735e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0.0002          	2.00794831e-01
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50569735e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0.0002          	2.00794831e-01
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50569735e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0.0002          	2.00794831e-01
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50569735e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0.0002          	2.00794831e-01
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50569735e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0.0002          	2.00794831e-01
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50570244e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0.0004          	3.33646724e-01
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50570244e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0.0004          	3.33646724e-01
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50570244e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0.0004          	3.33646724e-01
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50570244e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0.0004          	3.33646724e-01
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50570532e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0.0006          	3.89102976e-01
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50570532e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0.0006          	3.89102976e-01
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50570532e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0.0006          	3.89102976e-01
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50570532e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0.0006          	3.89102976e-01
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50570524e-05
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(p)
0.0008          	3.91453046e-01
# Region type : patch interface_upstream
# Faces         : 120
# Area          : 1.50570524e-05
