  TimeWindow  TotalIterations  Iterations  Convergence
     1       6       6       1
     2      11       5       1
     3      15       4       1
     4      19       4       1
     5      23       4       1
     6      28       5       1
     7      33       5       1
     8      39       6       1
     9      43       4       1
    10      93      50       0
    11     103      10       1
    12     110       7       1
    13     160      50       0
    14     176      16       1
    15     226      50       0
    16     276      50       0
    17     288      12       1
    18     338      50       0
    19     388      50       0
    20     438      50       0
    21     448      10       1
    22     475      27       1
    23     525      50       0
    24     575      50       0
    25     588      13       1
    26     638      50       0
    27     688      50       0
    28     738      50       0
    29     769      31       1
    30     819      50       0
    31     869      50       0
    32     919      50       0
    33     969      50       0
    34    1019      50       0
    35    1069      50       0
    36    1119      50       0
    37    1169      50       0
    38    1219      50       0
    39    1269      50       0
    40    1319      50       0
    41    1369      50       0
    42    1419      50       0
    43    1469      50       0
    44    1519      50       0
    45    1569      50       0
    46    1619      50       0
    47    1636      17       1
    48    1686      50       0
    49    1736      50       0
    50    1786      50       0
