  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Fluid-Mesh:Force)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   1.85433334e-01   4.88051582e-01
     1       3   9.38396360e-03   7.33346099e-02
     1       4   1.15439683e-04   3.26883526e-03
     1       5   1.41962363e-06   3.58716907e-05
     1       6   6.12010530e-09   4.53919436e-07
     2       1   6.09717263e-01   7.32399525e-01
     2       2   9.33500508e-03   4.03515061e-01
     2       3   2.18510928e-04   4.48071002e-03
     2       4   4.85796658e-07   1.08046449e-04
     2       5   5.50909833e-09   2.49326622e-07
     3       1   2.50016969e-01   3.09482098e-01
     3       2   1.88883328e-04   1.39385730e-01
     3       3   8.39008786e-07   8.66171482e-05
     3       4   4.14136332e-09   3.18727171e-07
     4       1   4.88306077e-03   3.22543279e-02
     4       2   6.96028912e-05   1.51926173e-03
     4       3   1.88674505e-06   4.18267026e-05
     4       4   7.70112557e-08   8.38287646e-07
     5       1   9.04087287e-02   8.71166996e-02
     5       2   5.08045699e-05   4.06817363e-02
     5       3   1.19559380e-06   2.51893967e-05
     5       4   1.53524758e-08   5.82071362e-07
     6       1   5.27414068e-02   5.07918642e-02
     6       2   6.38488363e-05   2.38441694e-02
     6       3   5.83251927e-05   9.55369527e-05
     6       4   1.76885598e-05   1.93445143e-05
     6       5   6.23909353e-08   8.37075783e-06
     7       1   3.24748014e-03   2.01815859e-02
     7       2   3.41878585e-03   1.93689795e-04
     7       3   7.65226220e-05   1.58945524e-03
     7       4   1.50069869e-06   3.71140329e-05
     7       5   9.09768112e-08   7.15727742e-07
     8       1   2.97036953e-02   6.09410306e-02
     8       2   4.43171043e-04   1.45655893e-02
     8       3   3.12975615e-04   2.76538232e-05
     8       4   9.06744581e-05   8.13223027e-05
     8       5   2.29498299e-07   3.37122597e-05
     8       6   2.15989486e-09   8.05741616e-08
     9       1   2.69525655e-02   1.43857272e-01
     9       2   6.72874116e-04   1.31063337e-02
     9       3   1.00997443e-05   1.94266964e-04
     9       4   5.08999767e-08   4.29066398e-06
    10       1   1.68429233e-02   3.76099536e-01
    10       2   6.01301393e-04   7.70571147e-03
    10       3   1.21904607e-03   2.61472990e-03
    10       4   1.32038761e-03   2.55683944e-03
    10       5   5.89750064e-04   2.59206165e-03
    10       6   8.11886005e-04   2.65523014e-03
    10       7   5.24540265e-04   2.66073609e-03
    10       8   7.59973150e-04   2.67117361e-03
    10       9   4.98669423e-04   2.67183271e-03
    10      10   7.32240904e-04   2.67885708e-03
    10      11   4.93594375e-04   2.67671128e-03
    10      12   7.31091252e-04   2.67974059e-03
    10      13   4.92639084e-04   2.67702026e-03
    10      14   7.29092038e-04   2.68017674e-03
    10      15   4.92182135e-04   2.67738829e-03
    10      16   7.29138372e-04   2.68023390e-03
    10      17   4.92145466e-04   2.67738643e-03
    10      18   7.28963684e-04   2.68026547e-03
    10      19   4.92117748e-04   2.67741688e-03
    10      20   7.28987278e-04   2.68026579e-03
    10      21   4.92115255e-04   2.67741365e-03
    10      22   7.28970418e-04   2.68026870e-03
    10      23   4.92113686e-04   2.67741643e-03
    10      24   7.28973785e-04   2.68026841e-03
    10      25   4.92113608e-04   2.67741593e-03
    10      26   7.28972230e-04   2.68026865e-03
    10      27   4.92113477e-04   2.67741619e-03
    10      28   7.28972609e-04   2.68026861e-03
    10      29   4.92113465e-04   2.67741613e-03
    10      30   7.28972456e-04   2.68026864e-03
    10      31   4.92113466e-04   2.67741616e-03
    10      32   7.28972476e-04   2.68026864e-03
    10      33   4.92113481e-04   2.67741615e-03
    10      34   7.28972472e-04   2.68026863e-03
    10      35   4.92113475e-04   2.67741615e-03
    10      36   7.28972486e-04   2.68026863e-03
    10      37   4.92113463e-04   2.67741615e-03
    10      38   7.28972494e-04   2.68026863e-03
    10      39   4.92113441e-04   2.67741615e-03
    10      40   7.28972490e-04   2.68026864e-03
    10      41   4.92113488e-04   2.67741615e-03
    10      42   7.28972489e-04   2.68026863e-03
    10      43   4.92113448e-04   2.67741615e-03
    10      44   7.28972487e-04   2.68026864e-03
    10      45   4.92113461e-04   2.67741615e-03
    10      46   7.28972481e-04   2.68026864e-03
    10      47   4.92113457e-04   2.67741615e-03
    10      48   7.28972467e-04   2.68026864e-03
    10      49   4.92113490e-04   2.67741615e-03
    10      50   7.28972517e-04   2.68026863e-03
    11       1   2.59468862e-02   8.38326107e-01
    11       2   2.09023635e+00   4.91968338e-01
    11       3   2.02925616e+00   7.10013876e-03
    11       4   2.02919278e+00   1.39724112e-05
    11       5   2.02919251e+00   7.83396317e-07
    11       6   2.02919225e+00   3.37145971e-08
    11       7   2.42606601e-02   3.97990436e-01
    11       8   1.29656906e-05   9.20734352e-03
    11       9   2.18948486e-05   1.39451364e-05
    11      10   6.51772256e-08   8.44370424e-06
    12       1   6.87957119e-02   1.23768863e+00
    12       2   2.09748634e-02   1.55538336e-02
    12       3   6.30336941e-02   3.15733847e-02
    12       4   1.73345590e-03   1.24385061e-02
    12       5   1.38371363e-04   3.36143776e-04
    12       6   3.45854798e-05   2.19184773e-05
    12       7   2.16897209e-06   6.77826505e-06
    13       1   2.00950480e-01   1.35530820e+00
    13       2   7.00973838e-01   9.31366292e-02
    13       3   3.40232871e-02   9.23725613e-02
    13       4   4.07364970e-03   1.59720256e-03
    13       5   3.38676566e-02   4.95889782e-03
    13       6   4.66738588e-03   4.91690759e-03
    13       7   3.91016942e-02   5.20098699e-03
