  TimeWindow  TotalIterations  Iterations  Convergence  QNColumns  DeletedQNColumns  DroppedQNColumns
     1       6       6       1       5       0       0
     2      11       5       1       5       1       3
     3      15       4       1       5       1       2
     4      19       4       1       5       1       2
     5      23       4       1       5       0       3
     6      28       5       1       5       1       3
     7      33       5       1       5       0       4
     8      39       6       1       5       1       4
     9      43       4       1       5       1       2
    10      93      50       0       5      41       8
    11     103      10       1       5       5       4
    12     110       7       1       5       2       4
    13     160      50       0       5      42       7
    14     176      16       1       5       4      11
    15     226      50       0       5      28      21
    16     276      50       0       5       1      48
    17     288      12       1       5       0      11
    18     338      50       0       5      33      16
    19     388      50       0       5       4      45
    20     438      50       0       5       4      45
    21     448      10       1       5       0       9
    22     475      27       1       5       0      26
    23     525      50       0       5       0      49
    24     575      50       0       5       0      49
    25     588      13       1       5       0      12
    26     638      50       0       5       0      49
    27     688      50       0       5       0      49
    28     738      50       0       5       0      49
    29     769      31       1       5       0      30
    30     819      50       0       5       0      49
    31     869      50       0       5       0      49
    32     919      50       0       5       0      49
    33     969      50       0       5       0      49
    34    1019      50       0       5       0      49
    35    1069      50       0       5       3      46
    36    1119      50       0       5       3      46
    37    1169      50       0       5       0      49
    38    1219      50       0       5       0      49
    39    1269      50       0       5       0      49
    40    1319      50       0       5      16      33
    41    1369      50       0       5       4      45
    42    1419      50       0       5      19      30
    43    1469      50       0       5       1      48
    44    1519      50       0       5       0      49
    45    1569      50       0       5       0      49
    46    1619      50       0       5       5      44
    47    1636      17       1       5       4      12
    48    1686      50       0       5       0      49
    49    1736      50       0       5       0      49
    50    1786      50       0       5       0      49
